epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,246.421,0.63116,0.71218,1.26546,0.9818,1,0.995,0.86869,0.62733,0.70812,1.42011,0.000693305,0.000693305,0.000693305
61,250.757,0.58683,0.6485,1.19724,1,0.64663,0.98328,0.83094,0.62446,2.11029,1.39487,0.000676802,0.000676802,0.000676802
62,254.775,0.64001,0.70188,1.24921,0.55556,1,0.98598,0.86536,0.65063,3.10647,1.43302,0.000660299,0.000660299,0.000660299
63,258.916,0.61206,0.66391,1.23118,1,0.69221,0.93635,0.80765,0.55891,2.01117,1.33758,0.000643795,0.000643795,0.000643795
64,262.928,0.64768,0.67925,1.26744,0.625,1,0.96948,0.81621,0.70361,3.56623,1.45077,0.000627292,0.000627292,0.000627292
65,266.865,0.60015,0.66384,1.22254,0.83855,0.52036,0.88752,0.77578,0.60116,2.96124,1.35042,0.000610789,0.000610789,0.000610789
66,270.666,0.62662,0.63439,1.23463,1,0.74654,0.98045,0.83218,0.65354,1.52315,1.4312,0.000594286,0.000594286,0.000594286
67,274.505,0.63122,0.64374,1.23708,0.93937,0.77549,0.96881,0.81995,0.63572,2.52542,1.39822,0.000577782,0.000577782,0.000577782
68,278.376,0.59861,0.62646,1.21769,0.57143,1,0.86244,0.73329,0.62643,3.45895,1.40937,0.000561279,0.000561279,0.000561279
69,282.216,0.61283,0.61727,1.2301,0.95141,0.9,0.98372,0.85038,0.60583,1.4351,1.37924,0.000544776,0.000544776,0.000544776
70,286.048,0.57018,0.63045,1.20357,0.93994,0.78312,0.98071,0.8639,0.57831,1.66461,1.31687,0.000528272,0.000528272,0.000528272
71,289.928,0.57331,0.63539,1.19842,0.91825,1,0.97119,0.83849,0.60819,2.67746,1.37304,0.000511769,0.000511769,0.000511769
72,293.802,0.58332,0.62431,1.21391,1,0.68822,0.995,0.87004,0.58699,2.09154,1.34225,0.000495266,0.000495266,0.000495266
73,297.692,0.61043,0.63586,1.22941,0.66667,1,0.96418,0.83876,0.58158,3.14639,1.33992,0.000478762,0.000478762,0.000478762
74,301.518,0.56891,0.58381,1.17999,0.57576,0.95,0.8866,0.76111,0.62291,3.03605,1.3919,0.000462259,0.000462259,0.000462259
75,305.402,0.57037,0.60303,1.18272,0.76923,1,0.96062,0.8647,0.58743,2.38424,1.34835,0.000445756,0.000445756,0.000445756
76,309.567,0.56397,0.57143,1.19484,0.83333,1,0.99262,0.86296,0.61833,2.29896,1.39312,0.000429253,0.000429253,0.000429253
77,313.708,0.60066,0.61075,1.2352,0.74074,1,0.98348,0.86174,0.61662,2.7051,1.40292,0.000412749,0.000412749,0.000412749
78,317.667,0.57839,0.57198,1.21373,1,0.64849,0.98795,0.86909,0.58263,1.93757,1.37835,0.000396246,0.000396246,0.000396246
79,321.642,0.55887,0.57788,1.1981,0.66667,1,0.95912,0.84868,0.57393,2.99503,1.38549,0.000379743,0.000379743,0.000379743
80,325.608,0.56016,0.5798,1.2021,0.71429,1,0.96932,0.86308,0.56883,2.61591,1.39371,0.000363239,0.000363239,0.000363239
81,329.623,0.54033,0.55635,1.172,0.68966,1,0.96071,0.8343,0.59359,2.34676,1.4014,0.000346736,0.000346736,0.000346736
82,333.431,0.55585,0.56754,1.17737,0.71429,1,0.97682,0.85007,0.58191,2.6581,1.33857,0.000330233,0.000330233,0.000330233
83,337.357,0.53484,0.55412,1.16398,0.8,1,0.98591,0.87301,0.54532,2.56132,1.29544,0.000313729,0.000313729,0.000313729
84,341.285,0.56011,0.5677,1.19789,0.77273,0.85,0.88219,0.77623,0.55149,3.68464,1.30949,0.000297226,0.000297226,0.000297226
85,345.473,0.53164,0.56876,1.1734,0.81818,0.9,0.9118,0.79994,0.54392,3.07638,1.3081,0.000280723,0.000280723,0.000280723
86,349.5,0.56891,0.57791,1.21058,0.76923,1,0.97667,0.86704,0.56436,2.40445,1.32691,0.00026422,0.00026422,0.00026422
87,353.37,0.56243,0.54149,1.18588,0.76,0.95,0.95139,0.8394,0.55476,2.80839,1.33314,0.000247716,0.000247716,0.000247716
88,357.25,0.56003,0.56562,1.19745,0.86364,0.95,0.95662,0.84169,0.56772,2.91868,1.32105,0.000231213,0.000231213,0.000231213
89,361.137,0.56228,0.55261,1.20339,0.74074,1,0.99024,0.88309,0.55523,2.43447,1.31355,0.00021471,0.00021471,0.00021471
90,365.087,0.55342,0.54048,1.18227,0.86957,1,0.995,0.879,0.56252,2.46332,1.30957,0.000198206,0.000198206,0.000198206
91,370.026,0.39864,0.6422,1.17429,0.77273,0.85,0.89103,0.77276,0.56713,3.86098,1.33394,0.000181703,0.000181703,0.000181703
92,373.948,0.36656,0.4267,1.14582,0.26316,0.5,0.47621,0.39455,0.56663,5.11924,1.37051,0.0001652,0.0001652,0.0001652
93,377.906,0.33652,0.34431,1.1546,1,0.33339,0.76496,0.63038,0.59974,3.58239,1.37427,0.000148696,0.000148696,0.000148696
94,381.722,0.34719,0.33906,1.14251,1,0.46925,0.81359,0.70022,0.58764,3.47739,1.3763,0.000132193,0.000132193,0.000132193
95,385.486,0.32753,0.34064,1.12459,1,0.50998,0.80338,0.70748,0.59239,3.56882,1.37376,0.00011569,0.00011569,0.00011569
96,389.331,0.32647,0.30994,1.11308,1,0.53279,0.84856,0.74542,0.57107,3.29536,1.34386,9.91865e-05,9.91865e-05,9.91865e-05
97,393.137,0.30058,0.30662,1.07757,1,0.62305,0.85944,0.74421,0.55018,2.78942,1.31546,8.26832e-05,8.26832e-05,8.26832e-05
98,396.891,0.30635,0.28236,1.09702,1,0.64395,0.89814,0.76538,0.5534,2.45696,1.32225,6.61799e-05,6.61799e-05,6.61799e-05
99,400.68,0.32653,0.28514,1.1075,1,0.6299,0.86193,0.74906,0.54454,2.82921,1.30682,4.96766e-05,4.96766e-05,4.96766e-05
100,404.506,0.29995,0.28501,1.05964,1,0.56068,0.85838,0.75891,0.53025,3.2335,1.29,3.31733e-05,3.31733e-05,3.31733e-05
